,LotFrontage,MasVnrArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice,YearsSinceBuilt,YearsSinceRemodeling,YearsSincegarageBuilt
0,65.0,196.0,706,856,856,854,1710,2,8,0,2,548,0,61,208500,22,22,22.0
1,80.0,0.0,978,1262,1262,0,1262,2,6,1,2,460,298,0,181500,49,49,49.0
2,68.0,162.0,486,920,920,866,1786,2,6,1,2,608,0,42,223500,24,23,24.0
3,60.0,0.0,216,756,961,756,1717,1,7,1,3,642,0,35,140000,110,55,27.0
4,84.0,350.0,655,1145,1145,1053,2198,2,9,1,3,836,192,84,250000,25,25,25.0
5,85.0,0.0,732,796,796,566,1362,1,5,0,2,480,40,30,143000,32,30,32.0
6,75.0,186.0,1369,1686,1694,0,1694,2,7,1,2,636,255,57,307000,21,20,21.0
8,51.0,0.0,0,952,1022,752,1774,2,8,2,2,468,90,0,129900,94,75,94.0
9,50.0,0.0,851,991,1077,0,1077,1,5,2,1,205,0,4,118000,86,75,86.0
10,70.0,0.0,906,1040,1040,0,1040,1,5,0,1,384,0,0,129500,60,60,60.0
11,85.0,286.0,998,1175,1182,1142,2324,3,11,2,3,736,147,21,345000,20,19,20.0
13,91.0,306.0,0,1494,1494,0,1494,2,7,1,3,840,160,33,279500,19,18,19.0
15,51.0,0.0,0,832,854,0,854,1,5,0,2,576,48,112,132000,96,24,34.0
17,72.0,0.0,0,0,1296,0,1296,2,6,0,2,516,0,0,90000,58,58,58.0
18,66.0,0.0,646,1114,1114,0,1114,1,6,0,2,576,0,102,159000,21,21,21.0
19,70.0,0.0,504,1029,1339,0,1339,1,6,0,1,294,0,0,139000,67,60,67.0
20,101.0,380.0,0,1158,1158,1218,2376,3,9,1,3,853,240,154,325300,20,19,20.0
21,57.0,0.0,0,637,1108,0,1108,1,6,1,1,280,0,0,139400,95,75,95.0
22,75.0,281.0,0,1777,1795,0,1795,2,7,1,2,534,171,159,230000,23,23,23.0
23,44.0,0.0,840,1040,1060,0,1060,1,6,1,2,572,100,110,129900,49,49,49.0
25,110.0,640.0,0,1566,1600,0,1600,2,7,1,3,890,0,56,256300,18,18,18.0
26,60.0,0.0,234,900,900,0,900,1,5,0,2,576,222,32,134800,74,25,20.0
27,98.0,200.0,1218,1704,1704,0,1704,2,7,1,3,772,0,50,306000,18,17,17.0
28,47.0,0.0,1277,1484,1600,0,1600,1,6,2,1,319,288,258,207500,68,28,68.0
29,60.0,0.0,0,520,520,0,520,1,4,0,1,240,49,0,68500,98,75,105.0
30,50.0,0.0,0,649,649,668,1317,1,6,0,1,250,0,54,40000,105,75,105.0
32,85.0,0.0,0,1234,1234,0,1234,2,7,0,2,484,0,30,179900,18,18,18.0
33,70.0,0.0,1018,1398,1700,0,1700,1,6,1,2,447,0,38,165500,66,66,66.0
34,60.0,246.0,1153,1561,1561,0,1561,2,6,1,2,556,203,47,277500,20,20,20.0
35,108.0,132.0,0,1117,1132,1320,2452,3,9,1,3,691,113,32,309000,21,20,21.0
36,112.0,0.0,0,1097,1097,0,1097,1,6,0,2,672,392,64,145000,31,30,30.0
37,74.0,650.0,1213,1297,1297,0,1297,1,5,1,2,498,0,0,153000,71,35,71.0
38,68.0,0.0,731,1057,1057,0,1057,1,5,0,1,246,0,52,109000,72,18,72.0
40,84.0,101.0,643,1088,1324,0,1324,2,6,1,2,440,0,138,160000,60,60,60.0
41,115.0,0.0,967,1350,1328,0,1328,1,5,2,1,308,0,104,170000,66,66,66.0
44,70.0,0.0,179,1150,1150,0,1150,1,6,0,1,300,0,0,141000,66,66,66.0
45,61.0,412.0,456,1752,1752,0,1752,2,6,1,2,576,196,82,319900,20,20,20.0
46,48.0,0.0,1351,1434,1518,631,2149,1,6,1,2,670,168,43,239686,22,22,22.0
47,84.0,0.0,24,1656,1656,0,1656,2,7,0,3,826,0,146,249700,19,19,19.0
49,66.0,0.0,763,955,955,0,955,1,6,0,1,386,0,0,127000,59,59,59.0
51,52.0,0.0,0,816,816,0,1176,1,6,1,2,528,112,0,114500,91,75,40.0
52,110.0,0.0,104,816,816,0,816,1,5,0,2,516,106,0,110000,62,62,62.0
53,68.0,0.0,1810,1842,1842,0,1842,0,5,1,3,894,857,72,385000,44,38,44.0
54,60.0,0.0,384,384,1360,0,1360,1,6,1,2,572,0,50,130000,70,70,63.0
55,100.0,272.0,490,1425,1425,0,1425,2,7,1,2,576,0,0,180500,61,61,61.0
56,24.0,456.0,649,970,983,756,1739,2,7,0,2,480,115,0,172500,26,25,26.0
57,89.0,0.0,0,860,860,860,1720,2,7,0,2,565,0,70,196500,21,21,21.0
58,66.0,1031.0,0,1410,1426,1519,2945,3,10,1,3,641,192,0,438780,19,19,19.0
59,60.0,0.0,632,780,780,0,780,1,4,0,1,352,196,0,124900,53,53,52.0
60,63.0,0.0,941,1158,1158,0,1158,1,5,0,2,576,0,50,158000,21,21,19.0
61,60.0,0.0,0,530,581,530,1111,1,6,0,1,288,0,0,101000,105,29,90.0
62,44.0,178.0,24,1370,1370,0,1370,2,6,1,2,484,120,49,202500,19,19,19.0
63,50.0,0.0,0,576,902,808,1710,2,9,0,2,480,12,11,140000,104,75,35.0
65,76.0,344.0,0,1143,1143,1330,2473,2,9,1,3,852,192,151,317000,21,20,21.0
67,72.0,167.0,1013,1453,1479,0,1479,2,7,0,2,558,144,29,226000,22,22,22.0
68,47.0,0.0,0,747,747,0,747,1,4,0,1,220,0,0,80000,80,75,80.0
69,81.0,0.0,603,1304,1304,983,2287,2,7,1,2,667,0,21,225000,72,72,72.0
70,95.0,1115.0,1880,2223,2223,0,2223,2,8,2,2,516,300,0,244000,52,52,52.0
71,69.0,0.0,565,845,845,0,845,1,4,0,2,360,0,0,129500,43,19,38.0
72,74.0,40.0,0,832,885,833,1718,2,7,1,2,427,0,94,185000,27,27,27.0
73,85.0,104.0,320,1086,1086,0,1086,1,6,0,2,490,0,0,144900,71,22,36.0
74,60.0,0.0,0,840,840,765,1605,2,8,0,1,379,0,0,107400,110,75,110.0
75,21.0,0.0,462,462,526,462,988,1,5,0,1,297,120,101,91000,52,52,52.0
77,50.0,0.0,336,672,1072,213,1285,1,6,0,1,240,0,0,127000,77,24,77.0
79,60.0,0.0,0,440,682,548,1230,1,5,0,2,440,74,0,110000,115,44,59.0
80,100.0,576.0,448,896,1182,960,2142,2,8,1,1,509,0,72,193500,57,57,57.0
81,32.0,443.0,1201,1237,1337,0,1337,2,5,0,2,405,0,199,153500,27,27,27.0
82,78.0,468.0,33,1563,1563,0,1563,2,6,1,3,758,144,99,245000,18,18,18.0
83,80.0,66.0,0,1065,1065,0,1065,1,6,0,2,461,74,0,126500,65,65,51.0
85,121.0,284.0,0,1288,1301,1116,2417,2,9,1,2,462,127,82,260000,34,33,34.0
86,122.0,0.0,0,684,684,876,1560,2,6,1,2,400,100,38,174000,20,20,20.0
87,40.0,76.0,0,612,612,612,1224,2,4,0,2,528,0,234,164500,16,16,16.0
90,60.0,0.0,0,0,1040,0,1040,1,4,0,2,420,0,29,109900,75,75,75.0
91,85.0,203.0,600,1235,1235,0,1235,1,6,0,2,480,0,0,98600,64,64,64.0
92,80.0,0.0,713,876,964,0,964,1,5,0,2,432,0,0,163500,104,19,104.0
93,60.0,0.0,1046,1214,1260,1031,2291,2,9,1,2,506,0,0,133900,115,27,125.0
94,69.0,0.0,648,824,905,881,1786,2,7,0,2,684,0,162,204750,28,28,28.0
96,78.0,183.0,1162,1588,1588,0,1588,2,6,0,2,472,158,29,214000,26,26,26.0
97,73.0,48.0,520,960,960,0,960,1,6,0,1,432,120,0,94750,60,60,60.0
98,85.0,0.0,108,458,835,0,835,1,5,0,1,366,0,0,83000,105,75,105.0
101,77.0,336.0,0,741,977,755,1732,2,7,1,2,476,192,46,178000,40,40,40.0
102,64.0,0.0,0,0,1535,0,1535,2,8,0,2,410,0,0,118964,46,46,46.0
103,94.0,0.0,0,1226,1226,0,1226,2,6,0,3,740,0,36,198900,16,16,16.0
105,75.0,768.0,0,1053,1053,939,1992,2,9,1,2,648,140,45,250000,22,21,22.0
106,60.0,0.0,0,641,1047,0,1047,1,6,0,1,273,0,0,100000,140,30,71.0
107,50.0,0.0,104,789,789,0,789,1,5,0,1,250,0,0,115000,77,75,77.0
109,105.0,480.0,705,1844,1844,0,1844,2,7,1,2,546,0,122,190000,48,48,48.0
110,75.0,0.0,444,994,1216,639,1855,2,7,0,1,325,182,0,136900,71,53,71.0
112,77.0,220.0,984,1264,1282,1414,2696,2,10,1,3,792,120,184,383970,18,18,18.0
114,61.0,0.0,774,1028,1436,884,2320,2,9,1,1,180,224,0,259500,80,23,80.0
115,34.0,1129.0,419,729,729,729,1458,2,5,1,2,440,0,32,176000,26,26,26.0
117,74.0,0.0,0,1125,1125,0,1125,1,5,0,2,430,80,64,155000,19,18,18.0
118,90.0,0.0,1470,1673,1699,1523,3222,3,11,2,3,594,367,0,320000,35,35,35.0
119,65.0,0.0,0,728,728,728,1456,2,8,1,2,390,0,24,163990,20,19,20.0
121,50.0,0.0,0,732,772,351,1123,1,4,0,1,264,0,0,100000,86,75,46.0
122,75.0,135.0,570,1080,1080,0,1080,1,5,0,1,288,0,0,136000,67,67,67.0
123,55.0,0.0,300,1199,1199,0,1199,2,5,0,2,530,0,63,153900,32,32,32.0
124,48.0,0.0,0,1362,1586,0,1586,2,7,1,2,435,192,0,181000,46,27,46.0
128,69.0,266.0,512,660,660,688,1348,1,6,1,2,453,188,108,155000,59,59,59.0
129,69.0,85.0,567,1008,1053,0,1053,1,6,0,2,750,0,80,150000,67,34,27.0
130,88.0,309.0,445,924,1216,941,2157,2,8,2,2,487,105,66,226000,59,59,59.0
132,75.0,0.0,405,1063,1327,0,1327,1,7,0,2,624,0,0,150750,66,23,51.0
134,78.0,0.0,570,1461,1721,0,1721,2,7,1,2,440,0,96,180000,57,32,57.0
135,80.0,288.0,0,1304,1682,0,1682,2,7,1,2,530,98,0,174000,55,55,55.0
137,82.0,70.0,0,1907,1959,0,1959,3,9,0,3,766,0,0,171000,37,36,36.0
138,73.0,320.0,668,1004,1004,848,1852,2,7,2,3,660,224,106,230000,26,25,26.0
139,65.0,0.0,821,928,928,836,1764,2,7,0,2,470,276,99,231500,28,28,28.0
141,78.0,0.0,1300,1734,1734,0,1734,2,7,0,2,660,160,24,260000,20,20,20.0
142,71.0,0.0,507,910,910,475,1385,2,6,0,2,720,0,0,166000,73,73,25.0
143,78.0,183.0,679,1490,1501,0,1501,2,6,0,2,577,144,29,204000,26,26,26.0
144,70.0,336.0,1332,1728,1728,0,1728,2,10,0,2,504,0,0,125000,62,62,62.0
145,24.0,50.0,0,970,970,739,1709,2,7,0,2,380,0,40,130000,21,19,21.0
146,51.0,0.0,209,715,875,0,875,1,5,0,1,180,48,0,105000,94,32,94.0
150,120.0,0.0,716,969,969,0,969,1,5,0,2,440,0,0,122000,50,50,50.0
151,107.0,436.0,1400,1710,1710,0,1710,2,6,1,3,866,0,102,372402,18,17,18.0
154,84.0,0.0,0,1200,1200,0,1200,1,7,0,1,312,0,0,125000,102,75,102.0
156,60.0,0.0,0,0,1040,0,1040,1,5,0,2,625,0,0,109500,75,75,75.0
157,92.0,84.0,0,774,774,1194,1968,2,8,1,3,680,0,75,269500,16,15,16.0
158,100.0,0.0,222,991,991,956,1947,2,8,1,2,678,0,136,254900,21,20,21.0
159,134.0,456.0,57,1392,1392,1070,2462,2,9,1,2,576,239,132,320000,20,19,19.0
161,110.0,664.0,1016,1572,1572,1096,2668,2,10,2,3,726,400,0,412500,22,21,22.0
162,95.0,226.0,1201,1541,1541,0,1541,2,7,1,2,532,0,70,220000,20,20,20.0
164,40.0,0.0,370,1149,1149,467,1616,2,5,0,1,216,0,0,152000,99,21,99.0
167,86.0,300.0,1288,1582,1610,551,2161,1,8,1,3,789,178,120,325624,18,18,18.0
168,62.0,0.0,0,840,840,880,1720,2,7,1,2,440,100,48,183500,21,21,21.0
171,141.0,112.0,639,1080,1656,0,1656,1,7,2,2,528,210,62,215000,65,65,65.0
172,44.0,0.0,495,1064,1064,703,1767,2,5,1,2,504,441,35,239000,38,38,38.0
173,80.0,491.0,288,1362,1362,0,1362,1,6,1,2,504,0,20,163000,64,64,64.0
174,47.0,132.0,1398,1606,1651,0,1651,2,7,1,2,616,192,0,184000,39,39,39.0
175,84.0,0.0,477,1202,2158,0,2158,2,7,1,2,576,0,29,243000,75,24,75.0
176,97.0,268.0,831,1151,1164,896,2060,2,8,1,2,521,0,228,211000,37,36,37.0
178,63.0,748.0,1904,2216,2234,0,2234,2,9,1,3,1166,0,60,501837,17,16,16.0
179,60.0,0.0,0,968,968,0,968,1,5,0,2,480,0,0,100000,102,19,90.0
181,54.0,0.0,352,793,901,901,1802,1,9,1,1,216,0,0,200100,105,75,105.0
182,60.0,98.0,0,0,1340,0,1340,1,7,1,1,252,116,0,120000,68,19,68.0
183,63.0,0.0,0,1362,1362,720,2082,2,6,0,2,484,280,238,200000,22,22,22.0
184,92.0,0.0,0,504,936,316,1252,1,5,0,2,576,104,0,127000,117,34,39.0
185,90.0,0.0,0,1107,1518,1518,3608,2,12,2,3,840,0,260,475000,133,32,32.0
187,60.0,0.0,0,660,808,704,1656,2,8,0,1,180,0,0,135000,109,38,109.0
188,64.0,275.0,1086,1086,1224,0,1224,0,6,2,2,528,120,0,153337,46,46,46.0
189,41.0,0.0,1153,1593,1593,0,1593,1,5,1,2,682,0,120,286000,24,23,24.0
190,70.0,0.0,297,853,1549,1178,2727,2,10,2,2,440,0,74,315000,93,31,93.0
192,68.0,0.0,560,1431,1431,0,1431,2,6,0,2,666,0,35,192000,26,26,26.0
193,24.0,50.0,0,970,970,739,1709,2,7,0,2,380,0,40,130000,21,21,21.0
194,60.0,0.0,390,864,864,0,864,1,5,0,1,352,0,0,127000,53,53,36.0
195,24.0,0.0,566,855,855,601,1456,2,7,1,2,440,87,0,148500,49,49,49.0
196,79.0,205.0,1126,1726,1726,0,1726,2,8,1,3,786,171,138,311872,18,18,18.0
197,174.0,0.0,1036,1360,1360,1360,3112,2,8,1,2,795,0,16,235000,107,35,107.0
199,76.0,262.0,1088,1713,1713,0,1713,2,7,1,3,856,0,26,274900,21,20,21.0
200,80.0,0.0,0,1121,1121,0,1121,2,5,0,2,440,132,64,140000,22,21,22.0
201,75.0,0.0,641,1196,1279,0,1279,2,6,2,2,473,238,83,171500,48,48,45.0
202,50.0,0.0,617,617,865,445,1310,2,6,0,1,398,0,0,112000,101,75,101.0
204,50.0,0.0,312,720,720,564,1284,1,5,0,1,240,0,35,110000,78,75,77.0
205,99.0,0.0,0,1424,1442,0,1442,2,5,0,2,500,0,34,180500,35,35,35.0
206,40.0,0.0,0,1140,1696,0,1696,1,8,1,1,349,0,30,143900,63,63,63.0
209,75.0,260.0,787,1092,1092,0,1092,1,6,0,2,504,0,0,145000,61,61,61.0
211,83.0,0.0,36,1212,1212,0,1212,2,6,0,2,460,100,22,186000,16,16,16.0
212,72.0,0.0,822,900,932,920,1852,2,7,1,2,644,168,108,252678,16,16,16.0
213,43.0,0.0,716,990,990,0,990,1,5,0,2,576,224,0,156000,30,30,29.0
215,72.0,64.0,360,1070,1236,0,1236,1,6,1,1,447,0,0,134450,68,29,68.0
216,65.0,266.0,946,1436,1436,0,1436,2,8,0,2,484,139,98,210000,21,21,21.0
217,57.0,0.0,0,686,810,518,1328,1,8,0,1,210,0,172,107000,100,75,85.0
219,43.0,16.0,16,1248,1248,0,1248,2,5,0,2,438,108,0,167240,20,19,20.0
220,73.0,0.0,0,1498,1498,0,1498,2,5,0,2,675,351,33,204900,19,19,19.0
222,85.0,0.0,550,713,811,741,1552,2,6,1,2,434,209,208,179900,50,50,50.0
223,70.0,0.0,524,864,864,0,864,1,4,0,2,576,216,0,97000,54,54,36.0
224,103.0,922.0,56,2392,2392,0,2392,2,8,1,3,968,248,105,386250,22,22,22.0
225,21.0,142.0,0,630,630,672,1302,2,6,0,1,280,0,0,112000,54,54,34.0
226,82.0,290.0,565,1203,1214,1306,2520,2,9,1,3,721,224,114,290000,30,30,30.0
227,21.0,127.0,321,483,483,504,987,1,5,0,1,280,0,0,106000,55,55,38.0
228,70.0,0.0,842,912,912,0,912,1,5,1,1,336,0,0,125000,58,58,51.0
229,43.0,16.0,16,1373,1555,0,1555,2,7,1,2,430,143,20,192500,20,19,20.0
230,73.0,220.0,0,1194,1194,0,1194,1,6,0,1,312,0,0,148000,66,66,66.0
231,174.0,506.0,689,1462,1490,1304,2794,2,9,1,3,810,0,146,403000,30,29,30.0
232,21.0,297.0,0,483,483,504,987,1,5,1,1,288,0,0,94500,53,53,53.0
233,75.0,0.0,182,894,894,0,894,1,5,0,1,308,365,0,128200,49,49,49.0
235,21.0,604.0,358,483,483,504,987,1,5,0,1,264,0,0,89500,54,54,54.0
236,65.0,98.0,24,1414,1414,0,1414,2,6,0,2,494,132,105,185500,21,21,21.0
238,93.0,254.0,0,1694,1694,0,1694,2,7,0,3,818,168,228,318000,18,18,18.0
239,52.0,0.0,94,735,798,689,1487,1,7,1,1,220,0,140,113000,80,75,76.0
240,75.0,36.0,1078,1566,1566,0,1566,2,7,0,2,750,144,168,262500,17,17,17.0
242,63.0,0.0,0,540,889,551,1440,1,6,0,1,352,0,0,79000,125,75,85.0
243,75.0,0.0,0,626,626,591,1217,1,6,1,1,288,0,28,120000,45,45,45.0
245,80.0,102.0,929,1845,1872,0,1872,2,6,1,2,604,197,39,241500,37,37,37.0
246,69.0,0.0,0,1020,908,1020,1928,2,9,0,1,440,0,60,137000,115,75,115.0
247,75.0,0.0,0,1367,1375,0,1375,1,5,1,2,451,0,30,140000,71,71,71.0
248,72.0,101.0,0,840,840,828,1668,2,8,0,2,500,144,68,180000,22,22,22.0
251,44.0,481.0,1573,1573,1625,0,1625,2,5,1,2,538,123,0,235000,19,18,19.0
252,65.0,0.0,0,798,798,842,1640,2,6,0,2,520,138,45,173000,21,21,21.0
253,85.0,108.0,270,1302,1302,0,1302,2,7,0,1,309,333,0,158000,61,34,61.0
254,70.0,0.0,922,1314,1314,0,1314,1,5,0,1,294,250,0,145000,68,68,68.0
255,66.0,302.0,0,975,1005,1286,2291,2,8,1,2,429,192,0,230000,26,26,26.0
256,64.0,0.0,503,864,864,864,1728,2,7,0,2,673,216,56,207500,22,22,22.0
257,68.0,180.0,1334,1604,1604,0,1604,2,8,1,2,660,123,110,220000,19,19,19.0
258,80.0,172.0,361,963,963,829,1792,2,7,1,2,564,0,96,231500,24,24,24.0
259,70.0,0.0,0,0,882,0,882,1,4,0,1,308,0,45,97000,69,69,69.0
260,120.0,399.0,672,1362,1382,0,1382,1,6,1,2,884,0,0,176000,63,63,34.0
261,69.0,270.0,0,1482,1482,1092,2574,2,10,1,3,868,0,148,276000,18,18,18.0
262,88.0,46.0,506,506,1212,0,1212,1,6,1,2,492,292,12,151000,48,30,47.0
263,50.0,0.0,234,926,926,0,1316,1,6,0,2,484,0,0,130000,96,24,51.0
264,30.0,0.0,0,680,764,0,764,1,4,0,2,504,0,0,73000,100,21,60.0
265,78.0,210.0,588,1422,1422,0,1422,2,7,1,2,576,276,0,175500,44,44,44.0
266,70.0,0.0,714,802,802,709,1511,2,8,1,2,413,95,75,185000,28,28,28.0
267,60.0,0.0,378,720,1052,720,2192,2,8,1,1,240,262,24,179500,86,28,86.0
268,71.0,0.0,403,740,778,0,778,1,4,1,1,924,0,25,120500,85,70,59.0
270,84.0,0.0,0,1095,1095,844,1939,2,8,1,3,1053,192,51,266000,19,19,19.0
271,73.0,0.0,226,1385,1363,0,1363,1,5,2,2,439,81,0,241500,71,20,71.0
272,92.0,348.0,524,1152,1164,1106,2270,2,9,1,3,671,132,57,290000,26,18,26.0
273,80.0,183.0,620,1240,1632,0,1632,2,6,1,1,338,289,0,139000,67,37,67.0
274,76.0,0.0,546,816,816,0,816,1,5,0,1,264,168,0,124500,43,43,43.0
275,55.0,0.0,0,952,952,596,1548,2,5,0,2,672,74,0,205000,100,18,47.0
276,129.0,0.0,0,1560,1560,0,1560,2,7,0,2,573,100,150,201000,22,22,22.0
277,140.0,0.0,120,864,864,0,864,1,4,0,2,400,0,0,141000,74,74,74.0
278,107.0,315.0,0,2121,2121,0,2121,2,8,1,3,732,124,98,415298,19,18,18.0
279,83.0,299.0,392,1160,1156,866,2022,2,8,1,2,505,288,117,192000,48,48,48.0
280,82.0,340.0,421,807,1175,807,1982,2,7,1,2,575,0,84,228500,36,36,36.0
281,60.0,68.0,905,1262,1262,0,1262,2,5,0,2,572,0,120,185000,19,19,19.0
282,34.0,166.0,904,1314,1314,0,1314,2,6,1,2,626,172,62,207500,18,17,17.0
283,74.0,72.0,0,1468,1468,0,1468,2,6,1,3,898,210,150,244600,17,16,17.0
284,50.0,0.0,430,1575,1575,0,1575,2,5,0,2,529,0,0,179200,33,33,33.0
285,35.0,0.0,0,625,625,625,1250,2,5,0,2,528,0,54,164700,19,18,19.0
286,77.0,0.0,600,912,1085,649,1734,1,7,1,2,440,0,0,159000,63,44,63.0
289,60.0,0.0,0,698,698,698,1396,1,7,0,1,384,0,0,153575,110,22,22.0
